ID,Salary,Designation,JobCity,Gender,10percentage,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Dyear,JYEAR
1026621,300000,software developer,Bangalore,f,88.0,2010,88.0,state board,9282,2,B.Tech/B.E.,CS,70.12,9282,2014,710,605,605,0.744758354008939,405,438,0.5591,1.2114,1.8543,0.1459,0.0973,1992,2014
1123186,120000,technical support executive,-1,m,55.6,2005,50.8,state board,12992,2,MCA,CS,80.03,12992,2014,440,425,370,0.23780283983757,415,315,-0.0154,0.8784,1.2396,1.2869,0.8637,1988,2014
1085716,300000,business analyst,Bangalore,m,75.0,2008,72.0,state board,7738,2,B.Tech/B.E.,CS,80.0,7738,2013,475,470,415,0.911395278391328,595,500,0.8463,1.0449,1.3933,-1.6289,-0.2859,1992,2014
836781,310000,software engineer,Pune,m,79.0,2008,76.4,state board,11583,2,B.Tech/B.E.,EC,65.0,11583,2012,605,510,515,-1.0,345,346,1.7081,0.8784,1.547,-1.6289,-0.0943,1989,2013
957046,340000,application developer,Navi Mumbai,f,85.8,2010,65.8,cbse,7627,2,B.Tech/B.E.,CS,69.7,7627,2014,615,630,750,0.622642915849938,485,407,0.8463,1.0449,0.01,-0.2344,0.4805,1993,2014
1074693,120000,android developer,Noida,m,68.4,2008,61.0,state board,982,2,B.Tech/B.E.,CS,62.2,982,2013,440,375,330,0.23780283983757,455,315,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,1992,2014
1087220,340000,software engineer,Hyderabad,m,91.43,2009,74.0,cbse,5666,2,B.Tech/B.E.,CS,70.0,5666,2016,665,460,570,0.144789889482462,445,284,0.4155,0.3789,-0.1437,-0.7415,-0.2859,1991,2015
1044420,120000,.net developer,Punchkula,m,60.8,2009,63.0,state board,8116,2,B.Tech/B.E.,CS,68.0,8116,2014,440,400,310,0.144789889482462,345,284,0.4155,-1.1196,0.7785,-0.1076,-0.2859,1992,2014
902366,325000,software engineer,Greater Noida,m,82.8,2009,73.6,cbse,3918,2,B.Tech/B.E.,CS,67.5,3918,2014,520,450,575,0.744758354008939,545,438,-0.159,0.0459,0.7785,-1.1218,-0.0943,1992,2014
801733,205000,quality analyst,Hyderabad,f,74.0,2009,61.1,state board,14382,2,B.Tech/B.E.,CS,71.0,14382,2013,500,460,235,0.0800552813405495,275,253,1.1336,0.3789,0.6248,-1.8824,0.8637,1992,2014
925705,105000,system administrator,-1,m,64.66,2008,63.0,state board,279,2,B.Tech/B.E.,CS,67.0,279,2013,370,410,470,0.842248322257836,415,469,0.2718,-1.1196,-1.8344,-0.7415,-1.8189,1992,2013
964319,195000,business development managerde,coimbatore,m,79.6,2011,87.58,0,7586,2,B.Tech/B.E.,CS,6.63,7586,2014,380,355,210,0.144789889482462,285,284,0.8463,0.7119,0.4711,1.1601,0.4805,1991,2014
1062173,145000,network administrator,-1,m,80.0,2009,89.0,state board,4557,2,B.Tech/B.E.,CS,62.0,4557,2013,325,530,405,0.356536487724475,275,346,0.99,0.3789,-0.2974,-1.1218,-1.244,1992,2013
991197,100000,web developer,Mysore,m,78.0,2012,62.0,state board,5908,2,B.Tech/B.E.,CS,60.0,5908,2014,525,435,405,0.744758354008939,415,438,-2.3134,-0.1206,-0.2974,0.1459,-1.6273,1993,2014
1218606,120000,software test engineer,Noida,m,60.0,2009,47.0,state board,6835,2,B.Tech/B.E.,CS,59.9,6835,2014,395,400,390,0.486747008438193,305,376,0.8463,-0.2871,0.01,0.2727,0.0973,1991,2014
1207950,235000,java software engineer,Mumbai,f,91.12,2010,72.0,state board,5216,2,B.Tech/B.E.,CS,74.0,5216,2014,490,470,585,0.953899775079926,475,530,1.1336,1.5444,1.547,-1.7556,-0.0943,1992,2014
992663,290000,software developer,Bangalore,f,88.6,2009,78.0,cbse,8297,2,B.Tech/B.E.,CS,84.0,8297,2014,455,560,630,0.0409993103614119,495,223,0.4155,-0.1206,-0.2974,1.1601,0.0973,1990,2014
924485,145000,php developer,Lucknow,m,72.0,2009,54.0,cbse,429,2,B.Tech/B.E.,CS,64.0,429,2014,335,535,400,0.486747008438193,395,376,-1.1644,-0.2871,0.6248,0.1459,-0.0943,1991,2014
861982,305000,software engineer,Noida,m,85.0,2008,80.0,icse,65,2,B.Tech/B.E.,EC,63.0,65,2013,660,585,620,0.0219691089363428,-1,376,1.2772,-0.6201,-0.1437,-1.6289,-0.0943,1991,2013
895695,325000,systems engineer,Pune,m,78.0,2010,76.6,cbse,119,1,B.Tech/B.E.,CS,75.0,119,2014,590,555,545,0.911395278391328,525,500,-0.159,-0.2871,0.01,-0.6147,0.2889,1992,2014
954862,200000,application developer,kolkata,m,73.0,2009,61.0,state board,11544,2,B.Tech/B.E.,CS,58.0,11544,2014,520,390,320,0.622642915849938,415,407,0.1282,1.3779,0.6248,-0.2344,0.6721,1990,2014
1296310,225000,customer service,New Delhi,m,78.0,2009,72.0,state board,6874,2,B.Tech/B.E.,CS,64.0,6874,2014,595,530,525,0.486747008438193,445,376,1.4208,1.2114,0.3174,-0.995,1.4386,1991,2014
827550,375000,software engineer,Noida,m,85.8,2010,78.4,cbse,47,1,B.Tech/B.E.,CS,77.56,47,2014,530,595,340,0.842248322257836,485,469,1.2772,1.2114,-2.1418,-1.7556,-0.6692,1993,2014
1057665,180000,trainee software engineer,Hyderabad ,m,91.3,2010,88.9,state board,4128,2,B.Tech/B.E.,CS,74.86,4128,2014,525,545,560,0.486747008438193,455,376,-1.0208,0.7119,0.4711,-0.2344,0.2889,1993,2014
1269394,300000,quality assurance automation engineer,Bangalore,m,65.6,2008,70.2,isce,1375,2,B.Tech/B.E.,CS,79.0,1375,2013,525,590,535,0.744758354008939,615,438,-0.4463,-0.2871,1.2396,-0.7415,0.0973,1989,2013
1036813,305000,java software engineer,-1,m,90.4,2008,79.0,cbse,12669,2,B.Tech/B.E.,CS,75.16,12669,2012,595,545,690,0.978799292641428,505,561,-0.7335,0.2124,-0.7585,0.2727,-1.0524,1990,2014
864904,215000,associate software engineer,Chennai,m,81.2,2008,80.7,state board,8072,2,B.Tech/B.E.,CS,74.3,8072,2012,500,460,235,0.23780283983757,385,315,1.8517,1.2114,-0.4511,-1.8824,-0.4776,1991,2013
863466,350000,system engineer,New Delhi,m,82.0,2008,81.2,cbse,6920,1,B.Tech/B.E.,CS,71.67,6920,2013,580,640,870,0.622642915849938,625,407,-0.5899,1.0449,0.3174,-1.2486,0.8637,1990,2013
1043571,115000,software developer,-1,m,81.2,2008,65.2,cbse,2819,2,B.Tech/B.E.,CS,68.96,2819,2013,570,530,525,0.622642915849938,465,407,-0.8772,-0.9531,-0.6048,0.3995,-1.6273,1990,2014
1029931,240000,java developer,Chennai,f,80.0,2010,79.2,state board,16183,2,B.Tech/B.E.,CS,71.4,16183,2014,395,420,270,0.486747008438193,415,376,0.5591,0.7119,1.2396,-0.7415,-0.2859,1993,2014
423209,180000,software test engineer,Noida,m,55.0,2005,68.0,up board,8718,2,B.Tech/B.E.,CS,59.0,8718,2012,475,415,435,0.486747008438193,385,376,-0.7651,0.0328,0.0914,1.4136,0.0284,1988,2013
1163951,300000,java software engineer,Bangalore,m,89.12,2009,68.0,state board,315,2,B.Tech/B.E.,CS,74.0,315,2013,465,545,520,0.744758354008939,595,438,0.4155,-0.7866,-0.6048,-1.8824,-2.3937,1991,2013
1196014,180000,android developer,Noida,m,73.0,2009,69.0,state board,55,2,B.Tech/B.E.,CS,65.5,55,2014,465,480,415,0.622642915849938,435,407,0.1282,-0.1206,0.3174,0.653,-0.6692,1992,2014
984958,285000,technical support engineer,Jaipur,m,50.6,2009,56.9,state board,4948,2,B.Tech/B.E.,CS,60.01,4948,2014,350,335,400,0.23780283983757,375,315,-0.0154,0.2124,-0.1437,-1.2486,1.247,1991,2014
1088625,275000,software engineer,Bangalore,m,60.14,2008,60.0,state board,2921,2,B.Tech/B.E.,CS,77.0,2921,2014,455,485,510,0.622642915849938,435,407,-0.159,0.0459,0.3174,-1.2486,1.0554,1990,2014
1097212,170000,software engineer,Hyderabad,m,77.66,2009,90.7,state board,15854,2,B.Tech/B.E.,CS,69.5,15854,2013,580,580,560,0.23780283983757,455,315,-2.1698,-0.1206,0.3174,-0.4879,0.0973,1992,2014
1243402,245000,software engineer,Bengaluru,m,81.0,2009,66.0,state board,14407,2,B.Tech/B.E.,CS,66.0,14407,2013,580,555,465,0.622642915849938,415,407,1.2772,0.0459,1.2396,-1.5021,1.247,1992,2014
1195196,350000,business analyst,Bangalore,f,85.0,2011,75.0,cbse,159,2,B.Tech/B.E.,CS,78.4,159,2015,650,520,560,0.953899775079926,485,530,1.1336,1.0449,0.9322,-0.6147,0.6721,1992,2015
1205168,95000,asp.net developer,Noida,m,78.8,2010,68.0,cbse,1736,2,B.Tech/B.E.,CS,67.0,1736,2014,465,555,390,0.622642915849938,465,407,-1.0208,-0.1206,0.4711,-0.6147,-1.0524,1992,2014
342928,325000,system engineer,Hyderabad,m,71.0,2008,70.0,state board,10932,2,B.Tech/B.E.,CS,68.8,10932,2014,425,435,595,0.622642915849938,205,407,-0.4173,0.8518,0.925999999999999,-0.05527,0.0284,1991,2014
1023622,305000,software engineer,-1,m,88.6,2010,92.0,state board,14342,2,B.Tech/B.E.,CS,73.0,14342,2014,875,510,500,0.744758354008939,485,438,-0.0154,0.3789,0.1637,0.0192,0.2889,1993,2014
1268410,105000,admin assistant,-1,m,80.0,2010,62.0,cbse,78,2,B.Tech/B.E.,CS,61.0,78,2014,490,530,520,0.842248322257836,485,469,-0.7335,0.3789,0.1637,0.1459,-1.0524,1992,2015
865540,305000,business analyst,-1,m,79.83,2010,91.5,state board,8819,2,B.Tech/B.E.,CS,71.52,8819,2014,615,470,455,0.486747008438193,465,376,-0.0154,0.5454,0.4711,-0.1076,0.2889,1993,2014
1232775,300000,oracle dba,Noida,m,87.0,2009,70.0,cbse,33,2,B.Tech/B.E.,CS,62.0,33,2013,710,555,570,0.622642915849938,575,407,-0.5899,-0.7866,-0.9122,0.2727,-0.4776,1991,2014
519248,360000,assistant professor,-1,m,62.0,2005,61.0,cbse,10950,1,M.Tech./M.E.,CS,72.0,10950,2012,575,575,404,0.486747008438193,495,376,0.99,0.8784,0.7785,-0.7415,0.2889,1987,2013
1078264,240000,system engineer,Vijayawada,m,86.3,2009,89.7,state board,12941,2,B.Tech/B.E.,CS,71.0,12941,2013,360,460,430,0.744758354008939,515,438,0.99,-0.6201,-0.4511,-2.0092,0.0973,1991,2014
1122862,300000,java developer,Pune,m,81.0,2009,86.0,icse,485,2,B.Tech/B.E.,CS,74.15,485,2014,520,625,630,0.978799292641428,615,561,-1.0208,-0.2871,0.6248,-0.995,-0.4776,1990,2014
1187201,315000,software engineer,Pune,m,83.6,2009,60.17,cbse,3879,2,B.Tech/B.E.,EC,71.3,3879,2014,640,595,800,-1.0,515,561,-1.5953,-0.6201,-1.8344,-0.3612,-1.6273,1990,2015
823838,315000,programmer analyst trainee,Chennai,m,85.0,2009,85.0,cbse,272,2,B.Tech/B.E.,CS,65.25,272,2014,450,525,515,0.622642915849938,515,407,-1.308,-0.6201,-0.7585,0.3995,-1.4356,1990,2014
1218574,350000,trainee engineer,Gurgaon,m,69.2,2008,77.4,cbse,12601,2,MCA,CS,76.72,12601,2014,535,630,645,0.999664340267414,695,684,-2.3134,1.0449,0.1637,1.5404,0.0973,1991,2014
845625,150000,recruiter,-1,f,85.6,2010,69.6,cbse,14351,2,B.Tech/B.E.,CS,76.6,14351,2014,535,535,400,0.744758354008939,-1,438,-1.1644,-0.2871,-1.6807,0.3995,-1.6273,1992,2014
1091595,135000,software developer,-1,f,78.0,2008,62.0,state board,6659,2,B.Tech/B.E.,CS,90.0,6659,2013,490,570,450,0.23780283983757,395,315,1.4208,0.3789,0.9322,-1.3753,0.6721,1991,2013
1077214,240000,software engineer,Bangalore,m,77.0,2009,76.2,cbse,4971,2,B.Tech/B.E.,CS,70.7,4971,2013,545,530,605,0.622642915849938,485,407,-0.8772,-0.4536,-0.2974,0.0192,-1.6273,1993,2014
815553,120000,data entry operator,raipur,f,70.0,2009,68.8,cbse,7031,2,B.Tech/B.E.,CS,70.1,7031,2013,360,640,560,0.911395278391328,445,500,0.2718,0.0459,0.9322,-0.3612,0.6721,1992,2013
929120,300000,associate software engineer,Bangalore,m,66.33,2008,61.0,state board,2819,2,B.Tech/B.E.,CS,72.0,2819,2013,535,510,680,0.486747008438193,435,376,0.2718,0.5454,-1.527,0.2727,0.6721,1992,2014
1083403,315000,programmer analyst,Pune,m,86.0,2010,79.0,state board,6884,2,B.Tech/B.E.,CS,83.01,6884,2014,405,410,690,0.356536487724475,585,346,0.2718,1.5444,0.7785,-0.995,1.6302,1991,2015
982729,240000,test engineer,New Delhi,m,53.4,2010,66.0,cbse,387,2,B.Tech/B.E.,CS,60.62,387,2014,300,520,330,0.744758354008939,335,438,-0.3027,0.2124,1.0859,1.1601,-0.4776,1993,2015
1098791,195000,programmer,Lucknow,f,76.16,2008,74.0,cbse,2819,2,MCA,CS,78.9,2819,2013,560,530,235,0.622642915849938,465,407,0.4155,1.2114,0.7785,1.6672,0.2889,1991,2013
1091250,200000,oracle dba,-1,m,80.0,2008,84.0,state board,10748,2,B.Tech/B.E.,EC,61.0,10748,2012,560,460,465,-1.0,395,315,0.5591,1.0449,0.9322,-1.7556,0.4805,1991,2014
862250,210000,software engineer,Jodhpur,m,79.5,2008,71.08,state board,3266,2,B.Tech/B.E.,CS,65.68,3266,2012,395,535,515,0.356536487724475,535,346,-0.0154,0.5454,0.9322,1.2869,0.2889,1991,2013
1267278,145000,java software engineer,Chennai,m,66.4,2006,67.75,state board,4173,2,MCA,CS,76.0,4173,2013,535,480,260,0.622642915849938,585,407,1.2772,1.3779,0.4711,-1.8824,0.2889,1988,2014
1168723,500000,systems engineer,Bangalore,m,87.2,2010,71.0,state board,2388,2,B.Tech/B.E.,EC,85.5,2388,2014,545,425,500,0.783303536670298,545,284,-0.5899,0.0459,0.1637,0.7798,-0.0943,1993,2015
964017,140000,ui developer,-1,m,78.0,2010,87.1,state board,1428,2,B.Tech/B.E.,CS,65.0,1428,2014,430,570,615,0.744758354008939,525,438,-1.308,-1.1196,0.4711,0.0192,0.6721,1993,2014
1239599,155000,technical support engineer,Hyderabad,m,77.0,2009,85.0,state board,2485,2,B.Tech/B.E.,EC,68.0,2485,2013,545,370,415,-1.0,345,223,-0.7335,-0.2871,1.0859,-0.995,1.4386,1991,2013
1087060,200000,operations executive,-1,m,75.2,2008,75.2,0,16536,2,B.Tech/B.E.,CS,61.0,16536,2014,395,300,310,0.486747008438193,325,376,-0.8772,-1.7856,-0.7585,0.7798,-1.6273,1992,2014
820537,700000,software development engineer,Bangalore,m,72.33,2009,67.0,up board,4450,2,B.Tech/B.E.,CS,70.84,4450,2013,535,470,620,0.953899775079926,495,530,-0.8772,-1.8855,-0.0319,2.4278,-0.8782,1993,2013
1087646,220000,it support specialist,Gurgaon,m,85.8,2010,70.1,cbse,14069,2,B.Tech/B.E.,CS,64.0,14069,2014,595,495,440,0.622642915849938,315,407,-0.5899,1.0449,-0.6048,-0.4879,0.0973,1992,2014
663169,320000,software engineer,-1,m,82.0,2008,69.4,cbse,1872,2,B.Tech/B.E.,CS,71.8,1872,2013,645,595,655,0.953899775079926,635,530,0.1282,0.5454,-1.3733,-1.2486,0.6721,1990,2014
1098801,340000,web developer,Bangalore,f,72.83,2009,79.4,state board,2988,1,B.Tech/B.E.,CS,78.34,2988,2014,350,630,760,0.144789889482462,455,284,-0.0154,-0.2871,0.4711,-2.0092,-0.6692,1993,2014
1043845,275000,software engineer,Bangalore ,f,81.0,2009,66.0,cbse,14029,2,B.Tech/B.E.,CS,80.0,14029,2013,545,545,595,0.356536487724475,345,346,-0.7335,0.0459,-0.1437,-0.1076,0.4805,1990,2014
1230264,320000,software engineer,Bangalore,f,88.33,2010,68.0,cbse,2285,2,B.Tech/B.E.,CS,78.0,2285,2014,580,570,560,0.356536487724475,445,346,1.2772,0.7119,-0.2974,-0.7415,0.4805,1992,2014
901358,370000,business technology analyst,Bangalore,f,95.2,2010,74.8,cbse,8811,2,B.Tech/B.E.,CS,76.2,8811,2014,640,605,665,0.953899775079926,-1,530,-0.5899,-0.1206,-0.2974,-0.2344,-0.4776,1993,2014
1123185,100000,technical support engineer,Kolkata`,m,71.5,2009,62.0,state board,13697,2,B.Tech/B.E.,CS,67.2,13697,2014,525,470,585,0.486747008438193,445,376,0.4155,0.2124,-0.4511,-0.6147,0.2889,1991,2014
1088559,300000,associate technical operations,chennai,m,88.0,2009,87.0,state board,9493,2,B.Tech/B.E.,EC,79.9,9493,2013,510,425,525,-1.0,465,438,0.8463,-0.7866,1.0859,0.1459,-1.0524,1992,2015
921436,180000,software engineer,Bangalore,f,92.0,2010,89.0,state board,1577,2,B.Tech/B.E.,CS,83.0,1577,2014,500,595,385,0.622642915849938,355,407,1.7081,-0.9531,-1.0659,-0.8682,-0.0943,1993,2014
1175511,280000,web designer,Gurgaon,m,68.0,2010,59.0,cbse,16674,2,MCA,CS,73.0,16674,2015,545,530,500,0.0800552813405495,345,253,-3.3188,-1.6191,-3.525,0.2727,-0.4776,1993,2015
1084021,300000,software engineer,Bangalore,f,79.5,2008,76.0,cbse,1572,2,B.Tech/B.E.,CS,76.0,1572,2013,475,570,595,0.356536487724475,505,346,-1.0208,0.5454,0.6248,1.1601,0.4805,1991,2014
351149,325000,system engineer,chennai,m,63.0,2009,64.0,cbse,7627,2,B.Tech/B.E.,CS,70.9,7627,2014,455,475,475,0.842248322257836,635,469,-1.0355,-0.2793,-0.0537,0.5323,0.3049,1992,2014
1259599,100000,php developer,Kolkata,m,73.37,2010,61.57,state board,11659,2,B.Tech/B.E.,CS,76.0,11659,2014,545,445,510,0.356536487724475,345,346,0.8463,0.2124,0.01,0.3995,0.2889,1993,2014
535627,505000,software development engineer,-1,m,86.0,2010,83.8,cbse,12290,2,B.Tech/B.E.,CS,77.0,12290,2014,555,605,560,0.486747008438193,465,376,0.9737,1.4368,0.5994,-0.2902,0.3444,1992,2014
959934,145000,seo trainee,Noida,m,78.6,2008,64.8,cbse,7255,2,B.Tech/B.E.,CS,63.7,7255,2014,615,520,535,0.744758354008939,455,438,0.2718,-0.1206,0.4711,-0.2344,-2.0105,1990,2014
905195,400000,software quality assurance analyst,-1,m,80.0,2009,70.0,cbse,6290,1,B.Tech/B.E.,CS,65.0,6290,2014,440,440,620,0.744758354008939,465,438,-2.0262,-0.9531,0.9322,-0.4879,-0.4776,1991,2014
1087295,330000,system engineer,Hyderabad,f,76.4,2010,81.1,state board,953,2,B.Tech/B.E.,CS,77.05,953,2014,440,505,380,0.486747008438193,575,376,0.7027,0.5454,-0.9122,-1.6289,-0.4776,1992,2014
896469,475000,software engineer,Bangalore,m,86.88,2010,80.83,state board,356,2,B.Tech/B.E.,CS,67.6,356,2014,485,375,635,0.356536487724475,445,346,0.99,0.3789,0.01,1.2869,0.4805,1992,2014
1087018,95000,business systems consultant,Chennai,m,78.8,2010,76.5,state board,7518,2,B.Tech/B.E.,EC,75.9,7518,2014,395,425,370,0.423951396376433,-1,346,-0.3027,0.7119,0.01,-0.7415,-1.6273,1992,2014
1264748,205000,associate software engineer,-1,m,74.0,2010,69.0,cbse,378,2,B.Tech/B.E.,CS,72.0,378,2014,545,565,415,0.486747008438193,395,376,-0.159,0.3789,0.7785,-1.5021,-0.2859,1992,2014
1219078,325000,system administrator,Kolkata,m,92.2,2009,75.6,cbse,11154,2,B.Tech/B.E.,CS,81.5,11154,2014,685,565,645,0.953899775079926,595,530,1.4208,1.2114,0.3174,-1.5021,0.2889,1991,2014
1238752,180000,java developer,Chennai,m,84.0,2009,87.83,state board,1111,2,B.Tech/B.E.,CS,81.0,1111,2013,405,420,475,0.842248322257836,475,469,-0.8772,-1.1196,1.0859,-0.8682,-0.4776,1992,2014
1072592,230000,operations assistant,-1,m,81.66,2009,58.55,state board,2318,2,B.Tech/B.E.,CS,55.9,2318,2013,630,680,560,0.486747008438193,465,376,0.99,0.8784,1.0859,-0.7415,1.0554,1991,2014
941785,180000,maintenance engineer,Unnao,m,78.6,2010,82.6,cbse,272,2,B.Tech/B.E.,ME,70.0,272,2014,590,555,385,0.125690182237981,-1,407,-0.8772,-0.6201,0.3174,-0.2344,1.4386,1993,2014
937940,145000,technical recruiter,Noida,m,82.8,2010,69.2,state board,6874,2,B.Tech/B.E.,CS,75.9,6874,2014,405,580,605,0.356536487724475,465,346,-0.4463,-0.1206,0.4711,0.2727,-0.2859,1993,2014
1281171,300000,software developer,New Delhi,f,80.0,2010,78.0,cbse,50,2,B.Tech/B.E.,CS,80.35,50,2014,500,505,565,0.622642915849938,495,407,0.1282,0.7119,0.4711,-1.3753,-0.2859,1992,2014
873020,240000,software engineer,Hyderabad,m,91.0,2009,91.0,state board,9074,2,B.Tech/B.E.,CS,80.6,9074,2013,475,520,765,0.486747008438193,525,376,0.7027,1.0449,1.0859,1.1601,0.6721,1991,2013
1245385,200000,web developer,Noida,m,72.0,2009,72.0,u p board,51,2,MCA,CS,70.0,51,2015,350,375,310,0.622642915849938,335,407,-1.0208,0.2124,1.547,2.0475,1.0554,1991,2015
818701,335000,programmer analyst,Chennai,m,66.0,2006,61.0,state board,9508,2,B.Tech/B.E.,CS,72.04,9508,2012,640,500,545,0.953899775079926,464,530,0.5591,1.0449,-0.1437,-0.6147,-0.8608,1989,2014
1281646,110000,technical engineer,Lucknow,m,83.0,2009,73.0,cbse,2819,2,B.Tech/B.E.,CS,67.25,2819,2013,525,505,585,0.842248322257836,495,469,-0.159,0.0459,0.01,1.794,-0.6692,1991,2013
1055284,120000,software trainee,Bangalore ,m,79.0,2007,62.5,state board,3716,2,MCA,CS,75.83,3716,2013,490,410,535,0.486747008438193,445,376,-0.4463,-0.2871,-0.6048,0.653,-1.4356,1988,2014
